subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1210325, 1, 1, 1, 2, 16, 3, 0 
1210325, 1, 2, 2, 1, 4, 3, 0 
1210325, 1, 3, 1, 2, 4, 3, 0 
1210325, 1, 4, 1, 2, 8, 3, 0 
1210325, 1, 5, 2, 1, 4, 3, 0 
1210325, 1, 6, 2, 2, 4, 3, 0 
1210325, 1, 7, 1, 2, 16, 3, 0 
1210325, 1, 8, 2, 1, 8, 3, 0 

1210325, 1, 1, 2, 2, 8, 0, 1254 
1210325, 1, 2, 1, 2, 4, 1, 614 
1210325, 1, 3, 2, 2, 16, 1, 1010 
1210325, 1, 4, 1, 2, 16, 1, 552 

1210325, 1, 1, 2, 2, 16, 0, 889 
1210325, 1, 2, 1, 2, 8, 0, 626 
1210325, 1, 3, 1, 2, 4, 0, 934 
1210325, 1, 4, 2, 1, 16, 0, 903 
1210325, 1, 5, 2, 1, 4, 0, 729 
1210325, 1, 6, 2, 1, 8, 0, 670 
1210325, 1, 7, 1, 2, 16, 0, 1316 
1210325, 1, 8, 2, 2, 8, 0, 1106 
1210325, 1, 9, 1, 2, 8, 0, 813 
1210325, 1, 10, 2, 1, 4, 1, 616 

1210325, 1, 1, 2, 1, 8, 0, 1405 
1210325, 1, 2, 1, 2, 8, 0, 1366 
1210325, 1, 3, 2, 2, 8, 0, 780 

