subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230373, 1, 1, 1, 1, 16, 2, 1 
1230373, 1, 2, 2, 2, 8, 2, 1 
1230373, 1, 3, 1, 2, 8, 2, 7 
1230373, 1, 4, 1, 1, 8, 2, 0 
1230373, 1, 5, 2, 2, 4, 2, 2 
1230373, 1, 6, 2, 2, 8, 2, 0 
1230373, 1, 7, 2, 2, 16, 2, 0 
1230373, 1, 8, 1, 1, 8, 2, 0 
1230373, 1, 9, 1, 1, 8, 2, 0 
1230373, 2, 1, 2, 1, 16, 2, 0 

1230373, 1, 1, 1, 1, 8, 2, 0 
1230373, 1, 2, 2, 2, 4, 2, 0 
1230373, 1, 3, 1, 1, 16, 2, 0 
1230373, 1, 4, 2, 1, 8, 0, 0 
1230373, 1, 5, 2, 1, 4, 1, 1 
1230373, 1, 6, 1, 2, 16, 1, 0 
1230373, 1, 7, 2, 1, 8, 2, 0 
1230373, 1, 8, 1, 2, 16, 2, 0 

1230373, 1, 1, 1, 1, 8, 2, 0 
1230373, 1, 2, 2, 2, 16, 2, 1 
1230373, 1, 3, 1, 1, 4, 2, 1 
1230373, 1, 4, 2, 1, 4, 2, 0 
1230373, 1, 5, 1, 1, 16, 2, 1 
1230373, 1, 6, 1, 1, 8, 2, 0 
1230373, 1, 7, 1, 2, 4, 2, 0 
1230373, 1, 8, 2, 1, 8, 2, 2 
1230373, 1, 9, 1, 2, 4, 2, 0 
1230373, 1, 10, 2, 2, 4, 2, 0 
1230373, 2, 1, 1, 2, 4, 2, 0 
1230373, 2, 2, 1, 1, 8, 2, 0 
1230373, 2, 3, 2, 1, 16, 2, 0 
1230373, 2, 4, 2, 1, 8, 2, 0 
1230373, 2, 5, 1, 1, 4, 0, 0 
1230373, 2, 6, 2, 1, 16, 2, 1 
1230373, 2, 7, 1, 1, 4, 2, 0 
1230373, 2, 8, 2, 1, 8, 2, 0 
1230373, 2, 9, 2, 2, 4, 2, 0 
1230373, 2, 10, 1, 2, 4, 2, 0 
1230373, 2, 11, 1, 2, 4, 2, 0 
1230373, 2, 12, 1, 1, 8, 2, 0 
1230373, 2, 13, 1, 1, 4, 2, 0 
1230373, 2, 14, 2, 2, 4, 2, 0 
1230373, 2, 15, 2, 1, 8, 2, 0 
1230373, 2, 16, 1, 1, 16, 2, 0 
1230373, 2, 17, 2, 1, 16, 2, 0 
1230373, 2, 18, 2, 2, 16, 2, 0 
1230373, 2, 19, 1, 2, 16, 2, 0 
1230373, 2, 20, 2, 2, 16, 2, 0 
1230373, 2, 21, 2, 2, 4, 2, 0 
1230373, 2, 22, 1, 2, 4, 0, 0 
1230373, 2, 23, 2, 1, 8, 2, 0 
1230373, 2, 24, 2, 2, 4, 2, 0 
1230373, 2, 25, 2, 1, 8, 2, 0 
1230373, 2, 26, 2, 2, 4, 2, 0 
1230373, 2, 27, 1, 1, 4, 2, 0 
1230373, 2, 28, 2, 2, 4, 2, 0 
1230373, 2, 29, 1, 1, 4, 2, 0 

1230373, 1, 1, 1, 1, 16, 1, 1170 
1230373, 1, 2, 1, 2, 8, 0, 1252 
1230373, 1, 3, 2, 2, 16, 0, 1013 
1230373, 1, 4, 1, 1, 8, 1, 750 
1230373, 1, 5, 1, 2, 4, 0, 822 
1230373, 1, 6, 1, 1, 16, 1, 1642 
1230373, 1, 7, 1, 2, 16, 0, 1216 
1230373, 1, 8, 1, 2, 4, 0, 734 
1230373, 1, 9, 2, 1, 16, 1, 1042 
1230373, 1, 10, 2, 1, 8, 0, 1036 

1230373, 1, 1, 2, 2, 8, 0, 1004 
1230373, 1, 2, 1, 1, 4, 0, 971 
1230373, 1, 3, 1, 2, 16, 0, 809 
1230373, 1, 4, 1, 1, 4, 0, 1161 
1230373, 1, 5, 2, 2, 4, 0, 843 
1230373, 1, 6, 1, 1, 8, 1, 1227 
1230373, 1, 7, 2, 1, 4, 0, 843 
1230373, 1, 8, 1, 2, 16, 0, 811 
1230373, 1, 9, 1, 1, 4, 0, 972 
1230373, 1, 10, 2, 2, 4, 0, 797 

1230373, 1, 1, 1, 1, 4, 0, 1047 
1230373, 1, 2, 1, 2, 16, 0, 809 
1230373, 1, 3, 2, 2, 8, 0, 793 
1230373, 1, 4, 2, 1, 8, 1, 993 
1230373, 1, 5, 1, 1, 4, 1, 1060 
1230373, 1, 6, 1, 2, 4, 0, 889 
1230373, 1, 7, 2, 1, 4, 0, 864 
1230373, 1, 8, 1, 2, 4, 0, 774 
1230373, 1, 9, 1, 1, 8, 0, 840 
1230373, 1, 10, 2, 2, 8, 0, 761 
1230373, 1, 11, 2, 2, 16, 0, 908 
1230373, 1, 12, 1, 1, 8, 0, 893 
1230373, 2, 1, 1, 2, 4, 0, 833 
1230373, 2, 2, 2, 1, 8, 0, 1957 
1230373, 2, 3, 2, 2, 4, 0, 987 
1230373, 2, 4, 1, 2, 8, 0, 841 
1230373, 2, 5, 1, 1, 16, 1, 1134 
1230373, 2, 6, 1, 2, 4, 0, 1399 
1230373, 2, 7, 1, 2, 4, 0, 794 
1230373, 2, 8, 2, 1, 16, 0, 814 
1230373, 2, 9, 2, 1, 8, 0, 944 
1230373, 2, 10, 2, 1, 8, 0, 1023 
1230373, 2, 11, 1, 2, 16, 0, 811 
1230373, 2, 12, 2, 1, 8, 0, 1277 
1230373, 2, 13, 1, 1, 16, 0, 832 
1230373, 2, 14, 1, 1, 8, 0, 1023 
1230373, 2, 15, 1, 1, 8, 0, 1118 
1230373, 2, 16, 1, 2, 16, 1, 795 
1230373, 2, 17, 2, 1, 16, 0, 1262 
1230373, 2, 18, 1, 2, 4, 0, 942 
1230373, 2, 19, 1, 2, 16, 0, 747 
1230373, 2, 20, 2, 1, 4, 0, 862 
1230373, 2, 21, 1, 1, 16, 0, 1966 
1230373, 2, 22, 2, 1, 16, 0, 1420 
1230373, 2, 23, 1, 2, 4, 0, 1057 
1230373, 2, 24, 2, 2, 8, 0, 680 
1230373, 2, 25, 2, 1, 16, 1, 2126 
1230373, 2, 26, 1, 2, 4, 0, 1119 
1230373, 2, 27, 1, 1, 4, 0, 715 
1230373, 2, 28, 1, 2, 4, 0, 818 
1230373, 2, 29, 1, 1, 8, 0, 1573 
1230373, 2, 30, 1, 2, 16, 0, 739 
1230373, 2, 31, 1, 1, 16, 0, 870 
1230373, 2, 32, 1, 1, 8, 1, 1009 
1230373, 2, 33, 2, 1, 16, 0, 1020 
1230373, 2, 34, 1, 1, 4, 1, 971 
1230373, 2, 35, 2, 1, 16, 0, 1725 
1230373, 2, 36, 1, 2, 4, 0, 1192 
