subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230394 , 1, 1, 2, 2, 16, 2, 1410 
1230394 , 1, 2, 1, 1, 4, 0, 4517 
1230394 , 1, 3, 1, 1, 16, 0, 663 
1230394 , 1, 4, 1, 2, 16, 1, 452 

1230394 , 1, 1, 1, 2, 16, 0, 2389 
1230394 , 1, 2, 1, 2, 16, 0, 455 
1230394 , 1, 3, 2, 1, 4, 0, 23 

1230394 , 1, 1, 1, 2, 4, 0, 2405 

1230394 , 1, 1, 1, 2, 4, 1, 1930 
1230394 , 1, 2, 2, 2, 16, 1, 34 

1230394 , 1, 1, 2, 1, 16, 2, 1046 
1230394 , 1, 2, 1, 2, 16, 2, 0 
1230394 , 1, 3, 1, 2, 16, 0, 2365 
1230394 , 1, 4, 2, 1, 16, 0, 612 
1230394 , 1, 5, 2, 2, 16, 0, 1 

1230394 , 1, 1, 2, 2, 4, 1, 1866 
1230394 , 1, 2, 2, 1, 4, 1, 0 
1230394 , 1, 3, 2, 2, 16, 0, 384 

1230394 , 1, 1, 2, 2, 8, 1, 3129 
1230394 , 1, 2, 1, 2, 16, 2, 478 
1230394 , 1, 3, 1, 1, 8, 0, 2871 
1230394 , 1, 4, 2, 1, 4, 0, 1064 
1230394 , 1, 5, 2, 2, 16, 1, 1720 
1230394 , 1, 6, 1, 2, 16, 0, 1142 
1230394 , 1, 7, 2, 2, 8, 0, 1611 

1230394 , 1, 1, 2, 2, 8, 1, 4966 
1230394 , 1, 2, 1, 2, 4, 1, 81 
1230394 , 1, 3, 2, 2, 8, 1, 1013 
1230394 , 1, 4, 1, 1, 8, 1, 2839 

1230394 , 1, 1, 2, 2, 4, 0, 2476 
1230394 , 1, 2, 2, 1, 8, 0, 1398 
1230394 , 1, 3, 1, 1, 8, 0, 886 
1230394 , 1, 4, 2, 1, 8, 0, 3455 

1230394 , 1, 1, 2, 2, 16, 3, 0 
1230394 , 1, 2, 1, 1, 16, 1, 4489 
1230394 , 1, 3, 2, 1, 8, 0, 1224 

1230394 , 1, 1, 1, 1, 4, 0, 2635 
1230394 , 1, 2, 1, 1, 4, 2, 534 

1230394, 1, 1, 1, 2, 8, 0, 831 
1230394, 1, 2, 2, 1, 8, 1, 568 

1230394, 1, 1, 1, 1, 16, 0, 1221 
1230394, 1, 2, 2, 1, 4, 0, 599 
1230394, 1, 3, 1, 1, 16, 0, 548 
1230394, 1, 4, 1, 2, 4, 1, 572 
1230394, 1, 5, 1, 1, 16, 0, 703 
1230394, 1, 6, 1, 2, 16, 0, 583 
1230394, 1, 7, 1, 2, 16, 0, 511 
1230394, 1, 8, 2, 1, 4, 0, 583 
1230394, 1, 9, 1, 2, 8, 0, 552 
1230394, 1, 10, 2, 2, 16, 0, 579 
1230394, 1, 11, 2, 2, 8, 0, 615 
1230394, 1, 12, 1, 1, 4, 0, 648 
1230394, 2, 1, 1, 1, 4, 0, 537 
1230394, 2, 2, 1, 2, 16, 0, 713 
1230394, 2, 3, 2, 2, 16, 1, 1023 
1230394, 2, 4, 1, 1, 16, 0, 680 
1230394, 2, 5, 1, 2, 4, 0, 678 
1230394, 2, 6, 1, 2, 8, 0, 779 
1230394, 2, 7, 1, 1, 4, 1, 616 
1230394, 2, 8, 1, 1, 16, 0, 617 
1230394, 2, 9, 1, 1, 8, 0, 566 
1230394, 2, 10, 1, 1, 16, 0, 841 
1230394, 2, 11, 1, 1, 8, 0, 792 
1230394, 2, 12, 1, 1, 4, 0, 726 
1230394, 2, 13, 1, 1, 8, 0, 600 
1230394, 2, 14, 2, 1, 4, 1, 812 
1230394, 2, 15, 2, 1, 8, 0, 838 
1230394, 2, 16, 2, 2, 8, 0, 718 
1230394, 2, 17, 1, 1, 16, 1, 728 
1230394, 2, 18, 2, 2, 16, 0, 679 
1230394, 2, 19, 2, 2, 8, 0, 569 
1230394, 2, 20, 2, 2, 4, 0, 641 
1230394, 2, 21, 1, 2, 16, 0, 842 
1230394, 2, 22, 2, 2, 8, 0, 757 
1230394, 2, 23, 1, 1, 4, 0, 1244 
1230394, 2, 24, 2, 2, 4, 0, 588 
1230394, 2, 25, 1, 1, 4, 0, 1017 
1230394, 2, 26, 2, 1, 8, 0, 730 
1230394, 2, 27, 2, 1, 8, 0, 668 
1230394, 2, 28, 1, 1, 8, 0, 629 
1230394, 2, 29, 1, 1, 8, 0, 537 
1230394, 2, 30, 2, 1, 8, 0, 815 
1230394, 2, 31, 2, 1, 16, 1, 707 
1230394, 2, 32, 1, 2, 16, 0, 698 
1230394, 2, 33, 2, 1, 8, 0, 712 
1230394, 2, 34, 2, 2, 16, 0, 696 
1230394, 2, 35, 1, 2, 4, 0, 632 
1230394, 2, 36, 1, 2, 4, 0, 747 
1230394, 2, 37, 1, 1, 16, 1, 699 
1230394, 2, 38, 2, 2, 8, 0, 600 
1230394, 2, 39, 1, 2, 16, 0, 683 
1230394, 2, 40, 1, 1, 8, 0, 841 
1230394, 2, 41, 2, 2, 4, 0, 951 
1230394, 2, 42, 2, 1, 4, 0, 737 
1230394, 2, 43, 1, 1, 8, 0, 644 
1230394, 2, 44, 1, 2, 8, 0, 616 
1230394, 2, 45, 1, 2, 4, 0, 513 
1230394, 2, 46, 1, 1, 8, 0, 540 
1230394, 2, 47, 2, 2, 8, 0, 715 
1230394, 2, 48, 2, 2, 4, 0, 675 
1230394, 2, 49, 2, 1, 16, 0, 1094 
1230394, 2, 50, 1, 2, 16, 0, 773 
1230394, 2, 51, 1, 2, 8, 0, 630 
