MSG	11436071 TRIAL 10 START
MSG	11438186 DRIFTCORRECT L REPEATING due to large error
MSG	11441394 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.25 deg.  20.9,-40.0 pix.
MSG	11442152 RECCFG P 500 2 1 
MSG	11442152 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11442153 !MODE RECORD P 500 2 1
START	11442154 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11442154	 1929.7	  618.8	  594.0	.
11442156	 1929.4	  619.6	  592.0	.
11442158	 1929.2	  619.7	  591.0	.
11442160	 1929.8	  620.0	  591.0	.
SFIX L   11442162
11442162	 1929.7	  620.5	  591.0	.
11442164	 1929.5	  619.7	  591.0	.
11442166	 1929.5	  621.5	  590.0	.
11442168	 1930.2	  623.5	  589.0	.
11442170	 1929.1	  621.5	  587.0	.
11442172	 1929.2	  620.9	  587.0	.
11442174	 1929.3	  620.9	  593.0	.
11442176	 1929.3	  620.5	  593.0	.
11442178	 1929.3	  621.2	  591.0	.
11442180	 1929.7	  621.9	  590.0	.
11442182	 1928.6	  619.7	  590.0	.
11442184	 1929.4	  621.4	  590.0	.
11442186	 1930.0	  622.1	  590.0	.
11442188	 1929.5	  622.3	  591.0	.
11442190	 1928.9	  622.6	  590.0	.
11442192	 1928.8	  623.8	  590.0	.
11442194	 1928.4	  622.0	  590.0	.
11442196	 1928.3	  621.8	  590.0	.
11442198	 1928.3	  622.7	  591.0	.
11442200	 1928.3	  620.6	  591.0	.
11442202	 1927.0	  621.6	  590.0	.
11442204	 1926.7	  619.8	  589.0	.
11442206	 1927.0	  619.7	  589.0	.
11442208	 1927.4	  619.5	  589.0	.
11442210	 1927.2	  619.7	  589.0	.
11442212	 1927.1	  619.8	  589.0	.
11442214	 1926.6	  620.2	  589.0	.
11442216	 1926.7	  619.2	  589.0	.
11442218	 1927.0	  620.0	  589.0	.
11442220	 1927.4	  620.7	  587.0	.
11442222	 1927.4	  621.7	  587.0	.
11442224	 1927.6	  622.6	  587.0	.
11442226	 1927.2	  624.1	  587.0	.
11442228	 1926.7	  622.1	  587.0	.
11442230	 1926.5	  623.2	  586.0	.
11442232	 1926.6	  624.1	  586.0	.
11442234	 1927.1	  626.1	  584.0	.
11442236	 1927.2	  626.8	  585.0	.
11442238	 1927.2	  626.5	  585.0	.
11442240	 1928.1	  626.7	  585.0	.
11442242	 1926.7	  624.9	  585.0	.
11442244	 1925.9	  623.0	  585.0	.
11442246	 1925.7	  623.7	  585.0	.
11442248	 1925.7	  622.8	  585.0	.
11442250	 1925.9	  623.2	  585.0	.
11442252	 1927.9	  623.6	  585.0	.
11442254	 1927.4	  622.7	  585.0	.
11442256	 1926.9	  621.8	  585.0	.
11442258	 1926.7	  624.0	  584.0	.
11442260	 1926.3	  623.6	  584.0	.
11442262	 1925.9	  624.4	  584.0	.
