MSG	11451414 TRIAL 11 START
MSG	11454615 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.52 deg.  19.7,7.1 pix.
MSG	11455374 RECCFG P 500 2 1 
MSG	11455374 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11455375 !MODE RECORD P 500 2 1
START	11455376 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11455376	  809.7	  558.2	  511.0	.
11455378	  808.7	  557.9	  511.0	.
11455380	  806.1	  557.8	  511.0	.
11455382	  799.3	  557.1	  511.0	.
11455384	  799.1	  560.6	  510.0	.
11455386	  788.5	  561.0	  511.0	.
11455388	  785.0	  562.7	  508.0	.
11455390	  779.7	  562.4	  506.0	.
SFIX L   11455392
11455392	  770.6	  561.1	  506.0	.
11455394	  766.5	  562.9	  506.0	.
11455396	  762.2	  564.8	  506.0	.
11455398	  753.9	  565.7	  506.0	.
11455400	  749.9	  565.2	  507.0	.
11455402	  743.1	  564.3	  508.0	.
11455404	  741.9	  563.4	  512.0	.
11455406	  740.8	  564.2	  512.0	.
11455408	  739.3	  563.4	  512.0	.
11455410	  738.0	  563.5	  512.0	.
11455412	  737.5	  563.8	  513.0	.
11455414	  737.1	  563.6	  511.0	.
11455416	  735.8	  564.2	  511.0	.
11455418	  734.5	  564.0	  511.0	.
11455420	  735.1	  564.2	  511.0	.
11455422	  734.8	  564.0	  510.0	.
11455424	  734.5	  563.3	  510.0	.
11455426	  734.3	  563.5	  511.0	.
11455428	  734.1	  563.5	  511.0	.
11455430	  734.3	  563.5	  512.0	.
11455432	  734.5	  563.5	  513.0	.
11455434	  734.0	  564.4	  511.0	.
11455436	  733.7	  565.5	  511.0	.
11455438	  733.6	  565.0	  511.0	.
11455440	  733.1	  564.6	  510.0	.
11455442	  732.8	  564.1	  510.0	.
11455444	  732.7	  563.9	  511.0	.
11455446	  732.8	  563.7	  514.0	.
11455448	  732.6	  563.6	  512.0	.
11455450	  732.6	  562.9	  511.0	.
11455452	  732.0	  562.1	  510.0	.
11455454	  731.8	  561.9	  511.0	.
11455456	  731.5	  562.2	  512.0	.
11455458	  731.6	  560.8	  510.0	.
11455460	  731.2	  561.7	  512.0	.
11455462	  731.2	  562.7	  513.0	.
11455464	  731.2	  566.1	  519.0	.
11455466	  731.3	  566.2	  520.0	.
11455468	  731.5	  565.9	  521.0	.
11455470	  731.7	  566.0	  525.0	.
11455472	  732.6	  563.3	  521.0	.
11455474	  732.7	  563.2	  521.0	.
11455476	  732.3	  563.2	  521.0	.
11455478	  731.9	  563.5	  519.0	.
11455480	  732.9	  564.1	  518.0	.
11455482	  733.9	  563.4	  518.0	.
11455484	  736.6	  564.8	  515.0	.
MSG	11455485 Start Recording with 0
MSG	11455485 SYNCTIME
11455486	  737.3	  564.9	  514.0	.
11455488	  744.4	  565.7	  514.0	.
11455490	  745.0	  565.4	  514.0	.
