MSG	11463414 TRIAL 12 START
MSG	11466816 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.69 deg.  -15.2,20.3 pix.
MSG	11467575 RECCFG P 500 2 1 
MSG	11467575 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11467576 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11467576 !MODE RECORD P 500 2 1
11467576	 1707.1	  669.3	  585.0	.
11467578	 1706.6	  669.7	  585.0	.
11467580	 1706.9	  669.3	  585.0	.
11467582	 1707.3	  669.5	  584.0	.
SFIX L   11467584
11467584	 1707.2	  668.8	  584.0	.
11467586	 1707.2	  668.1	  584.0	.
11467588	 1707.6	  668.0	  583.0	.
11467590	 1707.8	  668.0	  583.0	.
11467592	 1707.8	  667.9	  581.0	.
11467594	 1707.7	  667.4	  581.0	.
11467596	 1707.6	  666.9	  581.0	.
11467598	 1707.4	  666.8	  581.0	.
11467600	 1707.1	  666.8	  583.0	.
11467602	 1706.1	  666.7	  586.0	.
11467604	 1706.5	  667.1	  586.0	.
11467606	 1705.5	  666.4	  586.0	.
11467608	 1705.6	  667.0	  586.0	.
11467610	 1705.7	  667.6	  586.0	.
11467612	 1706.4	  667.7	  586.0	.
11467614	 1706.7	  667.7	  585.0	.
11467616	 1706.9	  667.9	  584.0	.
11467618	 1706.2	  668.0	  582.0	.
11467620	 1706.7	  668.0	  582.0	.
11467622	 1706.8	  668.0	  582.0	.
11467624	 1706.8	  667.4	  582.0	.
11467626	 1706.8	  666.7	  582.0	.
11467628	 1706.7	  666.6	  582.0	.
11467630	 1707.0	  666.6	  583.0	.
11467632	 1706.8	  664.9	  584.0	.
11467634	 1706.8	  665.3	  584.0	.
11467636	 1707.1	  665.6	  583.0	.
11467638	 1708.6	  667.3	  583.0	.
11467640	 1708.7	  667.3	  582.0	.
11467642	 1708.9	  667.5	  582.0	.
11467644	 1709.4	  668.2	  582.0	.
11467646	 1709.6	  669.1	  582.0	.
11467648	 1709.6	  670.0	  582.0	.
11467650	 1709.8	  670.3	  581.0	.
11467652	 1709.5	  670.2	  581.0	.
11467654	 1709.3	  670.1	  581.0	.
11467656	 1708.6	  670.1	  581.0	.
11467658	 1708.1	  669.1	  581.0	.
11467660	 1707.4	  669.0	  580.0	.
11467662	 1707.4	  669.1	  581.0	.
11467664	 1707.7	  668.6	  581.0	.
11467666	 1707.8	  668.9	  582.0	.
11467668	 1707.6	  669.0	  584.0	.
11467670	 1707.3	  667.4	  584.0	.
11467672	 1707.3	  666.9	  582.0	.
11467674	 1707.3	  667.2	  579.0	.
11467676	 1707.4	  667.4	  579.0	.
11467678	 1707.4	  667.9	  579.0	.
11467680	 1707.4	  667.9	  579.0	.
11467682	 1705.5	  668.9	  578.0	.
EFIX L   11467584	11467682	100	 1707.5	  667.9	    582
SSACC L  11467684
11467684	 1703.2	  666.6	  579.0	.
