MSG	11486135 TRIAL 14 START
MSG	11492341 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.95 deg.  4.2,33.1 pix.
MSG	11493059 RECCFG P 500 2 1 
MSG	11493059 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11493060 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11493060 !MODE RECORD P 500 2 1
11493060	 1942.6	  385.0	  580.0	.
11493062	 1943.1	  386.1	  582.0	.
11493064	 1943.1	  385.6	  581.0	.
11493066	 1943.9	  385.3	  581.0	.
SFIX L   11493068
11493068	 1944.0	  385.2	  582.0	.
11493070	 1943.8	  385.1	  581.0	.
11493072	 1943.9	  385.9	  583.0	.
11493074	 1943.8	  386.6	  584.0	.
11493076	 1945.0	  388.3	  585.0	.
11493078	 1945.8	  389.1	  586.0	.
11493080	 1946.0	  390.0	  587.0	.
11493082	 1945.4	  387.9	  587.0	.
11493084	 1945.8	  388.3	  587.0	.
11493086	 1944.8	  387.1	  587.0	.
11493088	 1945.5	  386.7	  584.0	.
11493090	 1945.9	  386.6	  583.0	.
11493092	 1945.5	  384.7	  583.0	.
11493094	 1945.1	  384.4	  582.0	.
11493096	 1945.4	  384.8	  581.0	.
11493098	 1945.1	  384.0	  581.0	.
11493100	 1945.2	  384.5	  581.0	.
11493102	 1945.0	  385.0	  581.0	.
11493104	 1945.7	  384.9	  584.0	.
11493106	 1945.9	  384.8	  584.0	.
11493108	 1947.1	  383.8	  584.0	.
11493110	 1946.7	  382.8	  582.0	.
11493112	 1946.8	  381.3	  581.0	.
11493114	 1949.1	  382.9	  580.0	.
11493116	 1949.5	  384.6	  580.0	.
11493118	 1949.8	  383.1	  580.0	.
11493120	 1950.5	  381.6	  581.0	.
11493122	 1950.6	  382.5	  580.0	.
11493124	 1950.8	  381.7	  578.0	.
11493126	 1950.5	  380.9	  576.0	.
11493128	 1951.3	  382.9	  576.0	.
11493130	 1951.7	  382.2	  577.0	.
11493132	 1951.6	  381.7	  577.0	.
11493134	 1951.7	  384.2	  578.0	.
11493136	 1952.5	  383.5	  578.0	.
11493138	 1953.9	  382.8	  578.0	.
11493140	 1955.8	  385.7	  580.0	.
11493142	 1954.8	  385.4	  581.0	.
11493144	 1955.0	  385.2	  581.0	.
11493146	 1954.6	  384.7	  581.0	.
11493148	 1955.4	  384.9	  579.0	.
11493150	 1955.7	  384.6	  579.0	.
11493152	 1957.8	  386.1	  579.0	.
11493154	 1957.1	  385.3	  579.0	.
11493156	 1956.8	  384.7	  579.0	.
11493158	 1956.9	  385.1	  579.0	.
11493160	 1957.2	  384.6	  579.0	.
11493162	 1956.6	  384.0	  578.0	.
11493164	 1957.0	  385.2	  579.0	.
11493166	 1956.8	  385.0	  579.0	.
11493168	 1957.2	  384.8	  580.0	.
MSG	11493170 Start Recording with 0
MSG	11493170 SYNCTIME
