MSG	11500402 TRIAL 15 START
MSG	11506207 DRIFTCORRECT L REPEATING due to large error
MSG	11509107 DRIFTCORRECT L LEFT  at 960,540  OFFSET 2.17 deg.  1.2,-75.3 pix.
MSG	11509865 RECCFG P 500 2 1 
MSG	11509865 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11509866 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11509866 !MODE RECORD P 500 2 1
11509866	  677.1	  550.2	  462.0	.
11509868	  677.5	  551.8	  462.0	.
11509870	  677.6	  551.8	  460.0	.
11509872	  679.6	  552.9	  458.0	.
SFIX L   11509874
11509874	  679.8	  554.0	  458.0	.
11509876	  679.5	  556.1	  458.0	.
11509878	  678.9	  555.8	  459.0	.
11509880	  678.4	  558.4	  459.0	.
11509882	  678.5	  559.1	  459.0	.
11509884	  678.6	  558.7	  459.0	.
11509886	  678.9	  559.9	  462.0	.
11509888	  679.3	  561.0	  462.0	.
11509890	  679.6	  563.7	  462.0	.
11509892	  679.4	  563.9	  462.0	.
11509894	  679.5	  564.3	  462.0	.
11509896	  678.8	  564.0	  462.0	.
11509898	  678.0	  563.7	  460.0	.
11509900	  678.5	  564.3	  460.0	.
11509902	  678.2	  564.9	  460.0	.
11509904	  678.6	  565.5	  460.0	.
11509906	  678.8	  566.2	  460.0	.
11509908	  678.8	  566.2	  460.0	.
11509910	  678.8	  566.2	  460.0	.
11509912	  678.8	  566.7	  459.0	.
11509914	  678.9	  565.9	  459.0	.
11509916	  678.9	  564.9	  460.0	.
11509918	  678.8	  565.2	  460.0	.
11509920	  678.6	  563.6	  460.0	.
11509922	  678.7	  562.3	  461.0	.
11509924	  678.8	  562.2	  461.0	.
11509926	  679.5	  562.3	  461.0	.
11509928	  680.9	  561.7	  461.0	.
11509930	  680.2	  561.1	  462.0	.
11509932	  679.4	  559.3	  462.0	.
EFIX L   11509874	11509932	60	  678.9	  561.6	    460
SSACC L  11509934
11509934	  677.3	  557.5	  463.0	.
11509936	  672.5	  553.2	  468.0	.
11509938	  670.3	  546.2	  470.0	.
11509940	  663.1	  540.9	  470.0	.
11509942	  657.5	  535.8	  470.0	.
11509944	  648.0	  522.8	  471.0	.
11509946	  641.5	  518.3	  472.0	.
11509948	  631.4	  516.5	  473.0	.
11509950	  616.9	  514.1	  474.0	.
11509952	  603.7	  501.8	  477.0	.
11509954	  591.5	  491.0	  478.0	.
11509956	  579.3	  483.5	  479.0	.
11509958	  571.3	  480.1	  481.0	.
11509960	  565.0	  472.9	  481.0	.
11509962	  562.6	  465.6	  482.0	.
11509964	  561.9	  464.7	  482.0	.
ESACC L  11509934	11509964	32	  677.3	  557.5	  562.6	  465.6	   3.89	    186
SFIX L   11509966
11509966	  561.0	  463.0	  482.0	.
11509968	  561.4	  459.4	  483.0	.
11509970	  561.7	  455.9	  483.0	.
