MSG	11517868 TRIAL 16 START
MSG	11526976 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.01 deg.  32.5,-21.3 pix.
MSG	11527736 RECCFG P 500 2 1 
MSG	11527736 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11527737 !MODE RECORD P 500 2 1
START	11527738 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11527738	 2004.5	  591.2	  541.0	.
11527740	 2004.4	  591.0	  541.0	.
11527742	 2004.5	  591.0	  541.0	.
11527744	 2003.4	  588.9	  541.0	.
SFIX L   11527746
11527746	 2003.3	  588.3	  541.0	.
11527748	 2003.1	  588.1	  541.0	.
11527750	 2003.2	  588.2	  540.0	.
11527752	 2003.5	  588.5	  540.0	.
11527754	 2003.6	  588.7	  540.0	.
11527756	 2003.4	  588.6	  540.0	.
11527758	 2004.3	  591.5	  540.0	.
11527760	 2004.0	  590.7	  540.0	.
11527762	 2003.7	  591.0	  541.0	.
11527764	 2003.0	  590.9	  543.0	.
11527766	 2003.7	  590.8	  543.0	.
11527768	 2004.3	  590.9	  542.0	.
11527770	 2005.0	  591.2	  542.0	.
11527772	 2005.4	  591.2	  543.0	.
11527774	 2004.9	  591.5	  543.0	.
11527776	 2006.0	  593.9	  544.0	.
11527778	 2006.0	  592.7	  544.0	.
11527780	 2005.9	  593.4	  545.0	.
11527782	 2006.0	  593.7	  545.0	.
11527784	 2005.3	  593.5	  545.0	.
11527786	 2005.2	  593.4	  546.0	.
11527788	 2004.8	  593.0	  546.0	.
11527790	 2004.6	  592.6	  546.0	.
11527792	 2005.0	  592.1	  545.0	.
11527794	 2005.4	  592.1	  545.0	.
11527796	 2005.4	  591.7	  544.0	.
11527798	 2006.1	  591.7	  544.0	.
11527800	 2006.1	  591.5	  544.0	.
11527802	 2005.7	  590.9	  544.0	.
11527804	 2005.1	  590.1	  550.0	.
11527806	 2005.0	  590.2	  550.0	.
11527808	 2004.6	  589.5	  550.0	.
11527810	 2004.3	  590.9	  550.0	.
11527812	 2004.0	  590.7	  550.0	.
11527814	 2004.0	  590.5	  550.0	.
11527816	 2003.9	  588.7	  550.0	.
11527818	 2003.3	  586.9	  550.0	.
11527820	 2003.0	  586.0	  550.0	.
11527822	 2002.5	  585.7	  549.0	.
11527824	 2001.8	  585.5	  549.0	.
EFIX L   11527746	11527824	80	 2004.5	  590.6	    544
SSACC L  11527826
11527826	 2000.8	  585.4	  550.0	.
11527828	 1989.5	  584.6	  549.0	.
11527830	 1972.8	  584.2	  549.0	.
11527832	 1953.2	  583.4	  549.0	.
11527834	 1921.3	  583.2	  549.0	.
11527836	 1883.6	  582.4	  555.0	.
11527838	 1836.1	  579.7	  555.0	.
11527840	 1786.6	  577.0	  557.0	.
11527842	 1733.3	  569.1	  560.0	.
11527844	 1680.6	  570.4	  564.0	.
11527846	 1625.1	  571.5	  564.0	.
