MSG	11548948 TRIAL 18 START
MSG	11550848 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.83 deg.  -32.2,-7.0 pix.
MSG	11551606 RECCFG P 500 2 1 
MSG	11551606 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11551607 !MODE RECORD P 500 2 1
START	11551608 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11551608	  622.2	  462.3	  491.0	.
11551610	  622.3	  462.4	  491.0	.
11551612	  622.6	  462.6	  491.0	.
11551614	  622.5	  463.3	  491.0	.
SFIX L   11551616
11551616	  622.4	  463.5	  490.0	.
11551618	  622.4	  464.6	  491.0	.
11551620	  622.4	  465.1	  491.0	.
11551622	  622.4	  465.1	  490.0	.
11551624	  622.4	  465.4	  490.0	.
11551626	  622.5	  465.3	  489.0	.
11551628	  622.4	  465.4	  489.0	.
11551630	  622.1	  464.6	  489.0	.
11551632	  622.7	  464.0	  489.0	.
11551634	  623.2	  463.5	  489.0	.
11551636	  623.5	  463.2	  490.0	.
11551638	  623.7	  463.1	  490.0	.
11551640	  624.1	  462.7	  490.0	.
11551642	  624.3	  462.2	  490.0	.
11551644	  624.1	  462.4	  490.0	.
11551646	  623.7	  462.4	  490.0	.
11551648	  624.2	  462.3	  490.0	.
11551650	  624.6	  462.2	  490.0	.
11551652	  625.0	  462.1	  490.0	.
11551654	  624.6	  462.4	  490.0	.
11551656	  624.5	  461.9	  491.0	.
11551658	  624.3	  461.3	  491.0	.
11551660	  624.2	  459.9	  491.0	.
11551662	  624.6	  460.0	  491.0	.
11551664	  625.1	  460.0	  491.0	.
11551666	  625.1	  459.9	  491.0	.
11551668	  625.0	  460.0	  491.0	.
11551670	  624.8	  460.1	  491.0	.
11551672	  624.7	  460.3	  491.0	.
11551674	  624.5	  460.4	  491.0	.
11551676	  624.6	  460.6	  490.0	.
11551678	  624.4	  460.2	  487.0	.
11551680	  624.2	  459.8	  486.0	.
11551682	  624.2	  460.8	  486.0	.
11551684	  624.2	  461.7	  486.0	.
11551686	  624.0	  462.2	  487.0	.
11551688	  623.9	  462.7	  487.0	.
11551690	  623.8	  462.7	  487.0	.
11551692	  623.3	  462.8	  486.0	.
11551694	  623.3	  463.4	  486.0	.
11551696	  623.0	  463.2	  487.0	.
11551698	  623.0	  463.7	  487.0	.
11551700	  623.1	  463.6	  489.0	.
11551702	  622.5	  464.1	  489.0	.
11551704	  622.5	  464.5	  489.0	.
11551706	  622.6	  464.8	  488.0	.
11551708	  622.7	  464.8	  487.0	.
11551710	  624.6	  465.3	  486.0	.
EFIX L   11551616	11551710	96	  623.6	  462.6	    489
SSACC L  11551712
11551712	  624.7	  465.8	  486.0	.
11551714	  634.4	  466.0	  486.0	.
MSG	11551716 Start Recording with 0
MSG	11551716 SYNCTIME
11551716	  645.7	  466.3	  487.0	.
11551718	  653.0	  468.5	  488.0	.
