MSG	11565873 TRIAL 20 START
MSG	11566769 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.37 deg.  14.3,-3.6 pix.
MSG	11567513 RECCFG P 500 2 1 
MSG	11567513 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11567514 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11567514 !MODE RECORD P 500 2 1
11567514	  894.6	  599.6	  518.0	.
11567516	  894.5	  600.0	  518.0	.
11567518	  894.1	  599.0	  518.0	.
11567520	  894.1	  598.0	  518.0	.
SFIX L   11567522
11567522	  893.2	  597.7	  518.0	.
11567524	  893.3	  597.8	  518.0	.
11567526	  893.1	  597.3	  518.0	.
11567528	  892.3	  596.7	  519.0	.
11567530	  891.8	  595.4	  519.0	.
11567532	  891.6	  595.7	  520.0	.
11567534	  890.8	  595.8	  522.0	.
11567536	  890.4	  595.0	  522.0	.
11567538	  890.0	  594.8	  521.0	.
11567540	  890.2	  594.9	  521.0	.
11567542	  890.4	  595.0	  520.0	.
11567544	  891.3	  599.2	  519.0	.
11567546	  891.6	  599.4	  519.0	.
11567548	  892.1	  600.8	  518.0	.
11567550	  892.3	  602.2	  518.0	.
11567552	  892.6	  604.3	  518.0	.
11567554	  892.3	  603.4	  518.0	.
11567556	  891.8	  604.2	  519.0	.
11567558	  891.5	  604.5	  519.0	.
11567560	  891.5	  604.6	  519.0	.
11567562	  891.6	  604.6	  518.0	.
11567564	  891.6	  607.2	  518.0	.
11567566	  891.4	  607.1	  519.0	.
11567568	  891.4	  607.1	  519.0	.
11567570	  891.4	  608.0	  519.0	.
11567572	  891.3	  607.8	  519.0	.
11567574	  891.4	  608.5	  520.0	.
11567576	  891.3	  608.8	  523.0	.
11567578	  891.2	  609.0	  523.0	.
11567580	  891.2	  609.2	  524.0	.
11567582	  891.2	  609.4	  525.0	.
11567584	  891.2	  609.6	  525.0	.
11567586	  891.1	  609.4	  524.0	.
11567588	  891.5	  609.4	  524.0	.
11567590	  891.8	  609.0	  519.0	.
11567592	  893.3	  608.6	  518.0	.
11567594	  894.3	  608.6	  517.0	.
11567596	  895.0	  608.9	  517.0	.
11567598	  893.7	  608.9	  517.0	.
11567600	  893.2	  608.8	  516.0	.
11567602	  892.8	  608.3	  517.0	.
11567604	  892.7	  608.0	  518.0	.
11567606	  892.7	  607.9	  518.0	.
11567608	  892.7	  608.0	  519.0	.
11567610	  892.0	  606.9	  519.0	.
11567612	  891.6	  605.8	  519.0	.
11567614	  891.3	  605.0	  519.0	.
11567616	  891.6	  604.7	  518.0	.
11567618	  891.8	  606.3	  518.0	.
11567620	  891.9	  606.6	  517.0	.
11567622	  892.0	  607.0	  517.0	.
MSG	11567624 Start Recording with 0
MSG	11567624 SYNCTIME
11567624	  891.0	  606.7	  517.0	.
11567626	  890.8	  607.4	  517.0	.
11567628	  890.9	  608.1	  517.0	.
