MSG	11407973 TRIAL 8 START
MSG	11412817 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.33 deg.  -10.9,-6.8 pix.
MSG	11413573 RECCFG P 500 2 1 
MSG	11413573 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11413574 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11413574 !MODE RECORD P 500 2 1
11413574	  655.7	  574.0	  517.0	.
11413576	  655.9	  573.5	  516.0	.
11413578	  656.0	  573.8	  516.0	.
11413580	  656.0	  573.4	  516.0	.
SFIX L   11413582
11413582	  655.8	  572.9	  516.0	.
11413584	  655.5	  571.9	  515.0	.
11413586	  656.2	  572.1	  517.0	.
11413588	  655.6	  570.7	  517.0	.
11413590	  655.8	  570.9	  517.0	.
11413592	  655.3	  571.0	  517.0	.
11413594	  655.5	  572.7	  517.0	.
11413596	  655.1	  574.3	  518.0	.
11413598	  654.9	  574.1	  518.0	.
11413600	  655.0	  574.1	  518.0	.
11413602	  654.4	  573.7	  518.0	.
11413604	  654.3	  573.4	  518.0	.
11413606	  654.3	  572.3	  518.0	.
11413608	  654.3	  572.8	  514.0	.
11413610	  654.4	  572.0	  514.0	.
11413612	  654.2	  571.1	  513.0	.
11413614	  654.2	  570.1	  514.0	.
11413616	  654.1	  569.9	  515.0	.
11413618	  654.1	  570.5	  518.0	.
11413620	  652.9	  570.3	  517.0	.
11413622	  651.8	  570.2	  519.0	.
11413624	  650.8	  568.9	  517.0	.
11413626	  650.3	  567.9	  517.0	.
11413628	  649.7	  567.7	  517.0	.
11413630	  649.7	  567.3	  517.0	.
11413632	  649.6	  566.7	  516.0	.
11413634	  648.3	  566.4	  515.0	.
11413636	  648.3	  566.4	  515.0	.
11413638	  649.3	  566.6	  515.0	.
11413640	  649.4	  568.4	  515.0	.
11413642	  649.7	  569.3	  517.0	.
11413644	  650.0	  569.8	  519.0	.
11413646	  650.1	  569.4	  519.0	.
11413648	  650.8	  569.6	  520.0	.
11413650	  650.9	  569.8	  524.0	.
11413652	  650.6	  569.2	  524.0	.
11413654	  650.7	  568.7	  522.0	.
11413656	  649.7	  567.2	  520.0	.
11413658	  648.9	  564.2	  518.0	.
11413660	  648.5	  564.1	  516.0	.
11413662	  648.7	  565.2	  515.0	.
11413664	  648.8	  564.4	  515.0	.
11413666	  648.9	  565.4	  516.0	.
11413668	  648.4	  565.3	  517.0	.
11413670	  648.7	  565.2	  517.0	.
11413672	  649.0	  566.1	  517.0	.
11413674	  649.5	  567.1	  519.0	.
11413676	  649.6	  567.4	  519.0	.
11413678	  649.7	  567.7	  519.0	.
11413680	  649.4	  567.6	  520.0	.
11413682	  649.6	  567.5	  520.0	.
MSG	11413684 Start Recording with 0
MSG	11413684 SYNCTIME
11413684	  649.0	  567.1	  520.0	.
11413686	  648.3	  566.5	  520.0	.
11413688	  647.7	  563.8	  520.0	.
